#Class	OvrStry	Rarc	Rmin	JAN-LAI	FEB-LAI	MAR-LAI	APR-LAI	MAY-LAI	JUN-LAI	JUL-LAI	AUG-LAI	SEP-LAI	OCT-LAI	NOV-LAI	DEC-LAI	JAN-ALB	FEB_ALB	MAR-ALB	APR-ALB	MAY-ALB	JUN-ALB	JUL-ALB	AUG-ALB	SEP-ALB	OCT-ALB	NOV-ALB	DEC-ALB	JAN-ROU	FEB-ROU	MAR-ROU	APR-ROU	MAY-ROU	JUN-ROU	JUL-ROU	AUG-ROU	SEP-ROU	OCT-ROU	NOV-ROU	DEC-ROU	JAN-DIS	FEB-DIS	MAR-DIS	APR-DIS	MAY-DIS	JUN-DIS	JUL-DIS	AUG-DIS	SEP-DIS	OCT-DIS	NOV-DIS	DEC-DIS	WIND_H	RGL	SolAtn	WndAtn	Trunk	COMMENT
210	0	25	60	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	SpgWheat
211	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Wheat Fallow
218	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	WinWheat
298	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Cereal Grain_Unknown
401	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Silviculture
402	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	ChristmasTrees
403	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Poplar
501	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Allium
502	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Daffodil
503	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Dahlia
504	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Iris
505	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Tulip
506	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Peony
601	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	GreenManure
602	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Pee_Vetch
603	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	YellowMustard
701	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Alfalfa_Hay
702	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Barley_Hay
703	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	AlfalfaOrGrassHay
704	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	TriticaleHay
705	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	OatHay
708	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	CloverHay
713	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	GrassHay
720	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Sorghum
721	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Sudangrass
722	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Timothy
798	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Hay_Silage_Unknown
801	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Medicinal_Herb
802	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Tobacco
804	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Tea
806	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Hops
807	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Mint
898	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Herb_Unknown
1001	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Watermelon
